sp_500,
464.5475003,01/01/19
479.0725098,02/01/19
493.987503,03/01/19
507.725006,04/01/19
523.650009,05/01/19
538.8050078,06/01/19
553.680008,07/01/19
560.649994,08/01/19
573.7274933,09/01/19
582.0299835,10/01/19
594.1499938,11/01/19
612.3074953,12/01/19
621.354996,01/01/19
643.5975038,02/01/19
642.6324923,03/01/19
645.1224978,04/01/19
658.6149903,05/01/19
669.7050018,06/01/19
648.0850068,07/01/19
650.5274963,08/01/19
668.5424958,09/01/19
697.779999,10/01/19
731.4275058,11/01/19
744.050003,12/01/19
762.7799835,/01/19
792.0224915,/01/19
779.7425078,/01/19
774.0325013,/01/19
823.6750183,/01/19
868.5825195,/01/19
920.4299928,/01/19
927.8174898,/01/19
926.7024995,/01/19
925.0725098,/01/19
933.794998,/01/19
959.25,/01/19
964.0475158,/01/19
1015.390015,/01/19
1073.757477,/01/19
1105.794983,/01/19
1101.869995,/01/19
1111.119995,/01/19
1139.847504,/01/19
1039.255035,/01/19
995.095001,/01/19
1035.695023,/01/19
1138.485016,/01/19
1193.670014,/01/
1248.674988,/01/
1253.424988,/01/
1266.137482,/01/
1318.917542,/01/
1322.577515,/01/
1331.237488,/01/
1362.56247,/01/
1324.924988,/01/
1305.192505,/01/
1313.127503,/01/
1380.890045,/01/
1429.660004,/01/
1422.962494,/01/
1382.625,/01/
1441.122498,/01/
1454.399994,/01/
1428.907502,/01/
1446.182496,/01/
1454.159973,/01/
1474.787506,/01/
1475.929993,/01/
1406.632507,/01/
1369.42749,/01/
1319.587494,/01/
1336.070007,/01/
1299.442474,/01/
1187.219971,/01/
1192.769989,/01/
1263.30249,/01/
1242.462494,/01/
1210.242523,/01/
1173.987488,/01/
1068.66748,/01/
1059.522491,/01/
1104.230011,/01/
1143.919983,/01/
1134.227478,/01/
1110.372467,/01/
1133.697479,/01/
1108.902497,/01/
1074.902497,/01/
1020.154999,/01/
917.8950043,/01/
906.532501,/01/
863.892517,/01/
844.2775115,/01/
908.9850008,/01/
909.9650115,/01/
877.7275085,/01/
841.9450073,/01/
843.5325163,/01/
884.2974855,/01/
937.180008,/01/
979.2525178,/01/
985.5799868,/01/
992.5425113,/01/
1008.657501,/01/
1024.109986,/01/
1050.939972,/01/
1084.022522,/01/
1125.877503,/01/
1139.872467,/01/
1130.384979,/01/
1122.827484,/01/
1108.01001,/01/
1130.294983,/01/
1115.544983,/01/
1094.089997,/01/
1112.38501,/01/
1119.279999,/01/
1155.019959,/01/
1194.202515,/01/
1193.685028,/01/
1194.564972,/01/
1194.247467,/01/
1166.367493,/01/
1173.522522,/01/
1197.679993,/01/
1213.552521,/01/
1225.359985,/01/
1224.404999,/01/
1209.339997,/01/
1232.049988,/01/
1255.040009,/01/
1267.252502,/01/
1277.97998,/01/
1288.70752,/01/
1303.097504,/01/
1288.184967,/01/
1262.555023,/01/
1262.920044,/01/
1287.597504,/01/
1317.715027,/01/
1357.577454,/01/
1386.815003,/01/
1409.167542,/01/
1425.462494,/01/
1423.92749,/01/
1407.632507,/01/
1454.397492,/01/
1506.3125,/01/
1514.677521,/01/
1492.52002,/01/
1450.915009,/01/
1494.684998,/01/
1535.580017,/01/
1494.705017,/01/
1476.80249,/01/
1397.085022,/01/
1355.5,/01/
1317.452484,/01/
1360.229981,/01/
1399.914978,/01/
1338.917511,/01/
1259.169983,/01/
1278.212494,/01/
1215.912506,/01/
1034.937515,/01/
903.3600008,/01/
881.5999908,/01/
869.2549898,/01/
791.927521,/01/
756.80249,/01/
834.605011,/01/
897.037491,/01/
921.9174955,/01/
943.5749968,/01/
1007.204987,/01/
1037.179993,/01/
1053.102493,/01/
1068.720001,/01/
1107.565003,/01/
1103.117493,/01/
1083.825012,/01/
1140.209991,/01/
1187.102478,/01/
1130.975006,/01/
1069.392487,/01/
1066.139969,/01/
1081.449982,/01/
1099.449982,/01/
1163.690003,/01/
1191.584992,/01/
1223.359986,/01/
1276.007507,/01/
1312.392487,/01/
1308.950012,/01/
1338.087494,/01/
1348.197479,/01/
1317.277466,/01/
1313.065002,/01/
1230.100006,/01/
1173.512512,/01/
1187.985016,/01/
1233.542511,/01/
1244.0625,/01/
1290.899994,/01/
1342.154999,/01/
1383.387512,/01/
1396.535004,/01/
1353.872467,/01/
1325.557495,/01/
1364.699982,/01/
1391.807495,/01/
1429.570038,/01/
1431.825012,/01/
1401.5,/01/
1422.159973,/01/
1465.107452,/01/
1507.184998,/01/
1538.907501,/01/
1575.087494,/01/
1624.187531,/01/
1613.127472,/01/
1649.714996,/01/
1664.882508,/01/
1670.192505,/01/
1715.160004,/01/
1781.065003,/01/
1818.084991,/01/
1812.434967,/01/
1811.992523,/01/
1862.107483,/01/
1867.387482,/01/
1897.945007,/01/
1942.0625,/01/
1953.755036,/01/
1960.747528,/01/
1989.915009,/01/
1957.084991,/01/
2040.63501,/01/
2047.69751,/01/
2028.592499,/01/
2050.415039,/01/
2082.582459,/01/
2081.859925,/01/
2099.35492,/01/
2089.485046,/01/
2086.920044,/01/
2014.084992,/01/
1945.722504,/01/
1996.757538,/01/
2074.259979,/01/
2056.099976,/01/
